employee_id,email,password,role
61,christinaperry@hotmail.com,A(6E3MEc_9,USER
62,hpacheco@yahoo.com,ctJwnWrq^0,USER
63,wnavarro@stanley.com,t$h1RhsRFJ,USER
64,phillipgrant@contreras.com,(NPC5nPlZ*,USER
65,jasminemejia@davis-bailey.biz,^1#8NulmV(,USER
66,eanderson@hotmail.com,sAFX+Mqr$0,USER
67,zlopez@hotmail.com,n2FVVdq%@d,USER
68,stacey40@hotmail.com,H78^QHaO@3,USER
69,kimjohn@yahoo.com,I*cX2kp9vK,USER
70,debra00@gmail.com,*EN*xO#f3J,USER
71,robinsonethan@gomez.net,!kd2+FSoI2,USER
72,ghoover@perez.com,%3JJBWpZ_7,USER
73,mccoydanielle@clay-lewis.com,^N_k5KFr^j,USER
74,ann19@hotmail.com,6hWY2zYa%A,USER
75,petersonsamuel@monroe.com,&X2V6TlMk6,USER
76,ihernandez@rogers.com,hs(3XrZeqz,USER
77,lanejames@gmail.com,$XL0)kO37@,USER
78,tinadecker@yahoo.com,$9BU8i@LBk,USER
79,mark76@yahoo.com,RR9aQQz^%9,USER
80,chadcollins@brown.org,%M9OcnN2El,USER
81,qmyers@nguyen-ayers.com,Wd8M@3Oaqw,USER
82,johnsonjim@hotmail.com,1Z59&Dvf&6,USER
83,jeanettepacheco@edwards-alvarez.biz,@3H@vRlTMO,USER
84,larajennifer@bennett-carson.com,#y4I1HpyD2,USER
85,richard18@hotmail.com,jZ3^MvIB+V,USER
86,justinbeck@yahoo.com,dd4_LMpD!J,USER
87,linda87@hotmail.com,+5tIrOUt_4,USER
88,marclarsen@tran.net,*Y)BnQx(n1,USER
89,eleonard@johnson-kim.info,H_4)AdyNAX,USER
90,suzanneburns@gmail.com,1eLewsOD#e,USER
91,droberts@becker.biz,goCWTSoT%3,USER
92,wilkinsmegan@yahoo.com,!pwlN0Bn4F,USER
93,jboyd@salas-marsh.biz,s%79ZPn$OF,USER
94,john41@hotmail.com,WE3uS2Tdu_,USER
95,perkinsmelissa@yahoo.com,*GDn%9Zl$c,USER
96,duffyjohn@cole.com,K_66Bp)goK,USER
97,dennisgarrett@yahoo.com,&S)6L@xN6&,USER
98,gjohnson@williamson.org,+0Csv2N8p6,USER
99,daniel27@yahoo.com,nkN3Guw69+,USER
100,debbie90@hotmail.com,&aL+Omkam9,USER
